,SMILES,MIC,METAB,MO24,DP24,SM24,NC24,MORT,YSE,AXIS,EYE,SNOU,JAW,OTIC,PE,BRAI,SOMI,PFIN,CFIN,PIG,CIRC,TRUN,SWIM,NC,TR,MOV21,AUC21,LEL_MORT,LEL_YSE,LEL_AXIS,LEL_EYE,LEL_SNOU,LEL_JAW,LEL_OTIC,LEL_PE,LEL_BRAI,LEL_SOMI,LEL_PFIN,LEL_CFIN,LEL_PIG,LEL_CIRC,LEL_TRUN,LEL_SWIM,LEL_NC,LEL_TR,18_END_LEC,MOR_LEC,SUBLETH_17_END_LEC,TOX_SCO
0,C1=CC=C(C=C1)C2=NN=C3N2N=C(S3)CC4=CC=CS4,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C1=CC=C(C=C1)N2C(=NN=C2SCC3=CC=C(C=C3)C#N)C4=CC=CC=N4,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C1=CC=C2C(=C1)C3=C4C(=NO3)C=CC(=C4C2=O)NCC5=CC=CO5,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,C1=COC(=C1)C2=NN=C3N2N=C(S3)C4=CC=CS4,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C1CC2=C(C(C(=C(N2)SCC(=O)C3=CC=C(C=C3)Cl)C#N)C4=CC=CO4)C(=O)C1,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C1CCC2(C1)CC3=CC=CC=C3C4=C2C(=O)N(C(=N4)SCC#N)CC5=CC=CO5,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C1CCN(CC1)CCSC2=NN=C(N2CC3=CC=CO3)COC4=CC=C(C=C4)Cl.Cl,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C1CN(CC2=C1C(=C(N=C2NCC3=CC=CC=C3)NCCN)C#N)CC4=CC=CC=C4,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,C1CN(CCN1CC2=CC=CC=C2)C3=NC=NC4=C3NC5=CC=CC=C54,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C=CCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)NC4=CC=CC=C4)N,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CC(=O)C1=C(C(=O)N(C1C2=CC=CC=N2)CCCOC)O.Cl,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CC1(CC2=C(CO1)C(=NC(=C2C#N)NCC3=CC=CO3)C4=CC=CO4)C,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CC1(CCC(=O)O1)C2=CN=C(S2)NC3=CC=CC=C3,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=CC3=C(N(C(=O)NC3=O)C4CCCCC4)O,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=CC3=C(N(C(=O)NC3=O)CCC4=CC=C(C=C4)F)O,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CC1=C(C2=C(N1C)C=CC(=C2)OC)C(=O)CN3CCOCC3,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CC1=CC(=C(C=C1)OC)N2C(=NN=N2)SC/C(=C(\C#N)/C3=NC4=CC=CC=C4N3)/O,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CC1=CC2=C(C(C(=C(O2)N)C(=O)OC)C3=CC=NC=C3)C(=O)O1,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CC1=CC2=C(C=C1)N=C(N2)C3CCN(CC3)CC(=O)N4CCCCCC4,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CC1=CC2=C(C=C1)NC3=C2CN(CC3)C(=O)CN4CCCC5=CC=CC=C54,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CC1=CC=C(C=C1)CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CC5=CC=CO5,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CC1=CSC(=N1)NC(=O)NC2=CC(=CC=C2)Cl,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CC1=NN=C(S1)NC(=O)C2CCCO2,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CC1C(=O)N(C2=CC=CC=C2O1)CC(=O)NCC3=CC=CS3,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CC1CC(NC2=C(C=CC=C12)C)C.Cl,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CCCC1CC(=O)OC1(C)C(=O)CSC2=NNC(=N2)C3=CC=CC=C3.Br,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CCCCOC1=CC=CC=C1C(=O)NCCCC(=O)O,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CCN(CC)C(=O)C1=C(C2=C(S1)N=C(C=C2C3=CC=CS3)C4=CC=CS4)N,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CCN(CC)C1=CC(=C(C=C1)C2NC3=CC=CC4=C3C(=CC=C4)N2)O,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CCN1C/C(=C/C2=CC=CC=C2)/C3=C(C1)C(C(=C(O3)N)C#N)C4=CC=CC=C4,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CCNC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=N)CCC4=CC=CC=C4,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CCOC(=O)C1CCCN(C1)C2=NC3=CC=CC=C3N=C2C(C#N)C(=O)OCCOC,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CCOC(=O)CCC1=C(C(=C2NC3=CC=CC=C3N2C1=O)C#N)C,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CCOC(=O)CSC1=NC(=C(S1)C(=O)NC2=CC=C(C=C2)N(C)C)N,ACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CCOC(=O)CSC1=NN=C2N1C3=C(C4=C(S3)CCC4)C(=O)N2CC5=CC=CC=C5,INACT,ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
